chunk_id,entity_type,entity_name,entity_attributes,canonical_entity
a607031d-711c-40c9-be15-94fdc1bddf32,Organization,Distributed Proofreaders Canada,{},Distributed Proofreaders Canada
a607031d-711c-40c9-be15-94fdc1bddf32,Person,"Orwell, George","{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': '1903', 'deathDate': '1950', 'affiliation': None}","Orwell, George"
a607031d-711c-40c9-be15-94fdc1bddf32,Person,"Blair, Eric Arthur","{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': '1903', 'deathDate': '1950', 'affiliation': None}","Blair, Eric Arthur"
a607031d-711c-40c9-be15-94fdc1bddf32,Object,Animal Farm,{},Animal Farm
a607031d-711c-40c9-be15-94fdc1bddf32,Time,1945,{},1945
a607031d-711c-40c9-be15-94fdc1bddf32,Time,1946,{},1946
a607031d-711c-40c9-be15-94fdc1bddf32,Time,12 May 2011,{},12 May 2011
a607031d-711c-40c9-be15-94fdc1bddf32,Time,Sep. 5 2014,{},Sep. 5 2014
a607031d-711c-40c9-be15-94fdc1bddf32,Person,Al Haines,{},Al Haines
12c164a3-ea39-40e6-9095-ba18f71945b3,Organization,"HARCOURT, BRACE AND COMPANY","{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}","HARCOURT, BRACE AND COMPANY"
12c164a3-ea39-40e6-9095-ba18f71945b3,Location,NEW YORK,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",New York
12c164a3-ea39-40e6-9095-ba18f71945b3,Location,UNITED STATES OF AMERICA,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",UNITED STATES OF AMERICA
12c164a3-ea39-40e6-9095-ba18f71945b3,Person,George Orwell,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",George Orwell
12c164a3-ea39-40e6-9095-ba18f71945b3,Location,"SCRANTON, PA.","{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}","SCRANTON, PA."
7d6c78d5-714d-4f9f-8263-a72ab29461fd,Person,Mr. Jones,"{'name': None, 'gender': None, 'role': 'Owner', 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': 'Manor Farm'}",Mr. Jones
7d6c78d5-714d-4f9f-8263-a72ab29461fd,Location,Manor Farm,{},Manor Farm
7d6c78d5-714d-4f9f-8263-a72ab29461fd,Location,hen-houses,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",hen-houses
7d6c78d5-714d-4f9f-8263-a72ab29461fd,Person,Mrs. Jones,{},Mrs. Jones
7d6c78d5-714d-4f9f-8263-a72ab29461fd,Person,old Major,"{'name': None, 'gender': None, 'role': None, 'description': 'prize Middle White boar', 'birthDate': None, 'deathDate': None, 'affiliation': None}",Old Major
7d6c78d5-714d-4f9f-8263-a72ab29461fd,Location,farm buildings,{},farm buildings
7d6c78d5-714d-4f9f-8263-a72ab29461fd,Location,big barn,{},the big barn
500dab47-96c0-42f8-b08f-1a2ffe1cad11,Person,Major,"{'name': None, 'gender': None, 'role': 'leader', 'description': 'a majestic-looking pig', 'birthDate': None, 'deathDate': None, 'affiliation': None}",Major
